[0, u'D', u'5', u'1']
[2, u'G', u'4', u'1']
[3, u'A', u'4', u'1']
[4, u'B', u'4', u'1']
[5, u'C', u'5', u'1']
[6, u'D', u'5', u'1']
[8, u'G', u'4', u'1']
[10, u'G', u'4', u'1']
[12, u'E', u'5', u'1']
[14, u'C', u'5', u'1']
[15, u'D', u'5', u'1']
[16, u'E', u'5', u'1']
[17, u'F', u'5', u'1']
[18, u'G', u'5', u'1']
[20, u'G', u'4', u'1']
[22, u'G', u'4', u'1']
[24, u'C', u'5', u'1']
[26, u'D', u'5', u'1']
[27, u'C', u'5', u'1']
[28, u'B', u'4', u'1']
[29, u'A', u'4', u'1']
[30, u'B', u'4', u'1']
[32, u'C', u'5', u'1']
[33, u'B', u'4', u'1']
[34, u'A', u'4', u'1']
[35, u'G', u'4', u'1']
[36, u'F', u'4', u'1']
[38, u'G', u'4', u'1']
[39, u'A', u'4', u'1']
[40, u'B', u'4', u'1']
[41, u'G', u'4', u'1']
[42, u'B', u'4', u'1']
[44, u'A', u'4', u'1']
[50, u'D', u'5', u'1']
[52, u'G', u'4', u'1']
[53, u'A', u'4', u'1']
[54, u'B', u'4', u'1']
[55, u'C', u'5', u'1']
[56, u'D', u'5', u'1']
[58, u'G', u'4', u'1']
[60, u'G', u'4', u'1']
[62, u'E', u'5', u'1']
[64, u'C', u'5', u'1']
[65, u'D', u'5', u'1']
[66, u'E', u'5', u'1']
[67, u'F', u'5', u'1']
[68, u'G', u'5', u'1']
[70, u'G', u'4', u'1']
[72, u'G', u'4', u'1']
[74, u'C', u'5', u'1']
[76, u'D', u'5', u'1']
[77, u'C', u'5', u'1']
[78, u'B', u'4', u'1']
[79, u'A', u'4', u'1']
[80, u'B', u'4', u'1']
[82, u'C', u'5', u'1']
[83, u'B', u'4', u'1']
[84, u'A', u'4', u'1']
[85, u'G', u'4', u'1']
[86, u'A', u'4', u'1']
[88, u'B', u'4', u'1']
[89, u'A', u'4', u'1']
[90, u'G', u'4', u'1']
[91, u'F', u'4', u'1']
[92, u'G', u'4', u'1']
[98, u'B', u'5', u'1']
[100, u'G', u'5', u'1']
[101, u'A', u'5', u'1']
[102, u'B', u'5', u'1']
[103, u'G', u'5', u'1']
[104, u'A', u'5', u'1']
[106, u'D', u'5', u'1']
[107, u'E', u'5', u'1']
[108, u'F', u'5', u'1']
[109, u'D', u'5', u'1']
[110, u'G', u'5', u'1']
[112, u'E', u'5', u'1']
[113, u'F', u'5', u'1']
[114, u'G', u'5', u'1']
[115, u'D', u'5', u'1']
[116, u'C', u'5', u'1']
[118, u'B', u'4', u'1']
[119, u'C', u'5', u'1']
[120, u'A', u'4', u'1']
[122, u'A', u'4', u'1']
[123, u'B', u'4', u'1']
[124, u'C', u'5', u'1']
[125, u'D', u'5', u'1']
[126, u'E', u'5', u'1']
[127, u'F', u'5', u'1']
[128, u'G', u'5', u'1']
[130, u'F', u'5', u'1']
[132, u'E', u'5', u'1']
[134, u'F', u'5', u'1']
[136, u'A', u'4', u'1']
[138, u'C', u'5', u'1']
[140, u'D', u'5', u'1']
[146, u'D', u'5', u'1']
[148, u'G', u'4', u'1']
[149, u'F', u'4', u'1']
[150, u'G', u'4', u'1']
[152, u'E', u'5', u'1']
[154, u'G', u'4', u'1']
[155, u'F', u'4', u'1']
[156, u'G', u'4', u'1']
[158, u'D', u'5', u'1']
[160, u'C', u'5', u'1']
[160, u'C', u'5', u'1']
[162, u'B', u'4', u'1']
[164, u'A', u'4', u'1']
[165, u'G', u'4', u'1']
[166, u'F', u'4', u'1']
[167, u'G', u'4', u'1']
[168, u'A', u'4', u'1']
[170, u'D', u'4', u'1']
[171, u'E', u'4', u'1']
[172, u'F', u'4', u'1']
[173, u'G', u'4', u'1']
[174, u'A', u'4', u'1']
[175, u'B', u'4', u'1']
[176, u'C', u'5', u'1']
[178, u'B', u'4', u'1']
[180, u'A', u'4', u'1']
[182, u'B', u'4', u'1']
[183, u'D', u'5', u'1']
[184, u'G', u'4', u'1']
[186, u'F', u'4', u'1']
[188, u'G', u'4', u'1']
