[0, u'G', u'3', u'2']
[0, u'B', u'3', u'2']
[0, u'D', u'4', u'2']
[4, u'A', u'3', u'2']
[6, u'B', u'3', u'2']
[12, u'C', u'4', u'2']
[18, u'B', u'3', u'2']
[24, u'A', u'3', u'2']
[30, u'G', u'3', u'2']
[36, u'D', u'4', u'2']
[38, u'B', u'3', u'2']
[40, u'G', u'3', u'2']
[44, u'D', u'4', u'2']
[46, u'D', u'3', u'2']
[47, u'C', u'4', u'2']
[48, u'B', u'3', u'2']
[49, u'A', u'3', u'2']
[50, u'B', u'3', u'2']
[54, u'A', u'3', u'2']
[56, u'G', u'3', u'2']
[58, u'B', u'3', u'2']
[60, u'G', u'3', u'2']
[62, u'C', u'4', u'2']
[68, u'B', u'3', u'2']
[70, u'C', u'4', u'2']
[71, u'B', u'3', u'2']
[72, u'A', u'3', u'2']
[73, u'G', u'3', u'2']
[74, u'A', u'3', u'2']
[78, u'F', u'3', u'2']
[80, u'G', u'3', u'2']
[84, u'B', u'3', u'2']
[86, u'C', u'4', u'2']
[88, u'D', u'4', u'2']
[90, u'D', u'3', u'2']
[92, u'G', u'3', u'2']
[96, u'G', u'2', u'2']
[98, u'G', u'3', u'2']
[104, u'F', u'3', u'2']
[110, u'E', u'3', u'2']
[112, u'G', u'3', u'2']
[114, u'E', u'3', u'2']
[116, u'A', u'3', u'2']
[120, u'A', u'2', u'2']
[122, u'A', u'3', u'2']
[128, u'B', u'3', u'2']
[130, u'D', u'4', u'2']
[132, u'C', u'4', u'2']
[134, u'D', u'4', u'2']
[136, u'F', u'3', u'2']
[138, u'A', u'3', u'2']
[140, u'D', u'4', u'2']
[142, u'D', u'3', u'2']
[144, u'C', u'4', u'2']
[146, u'B', u'3', u'2']
[148, u'D', u'4', u'2']
[150, u'B', u'3', u'2']
[152, u'C', u'4', u'2']
[154, u'E', u'4', u'2']
[156, u'C', u'4', u'2']
[158, u'B', u'3', u'2']
[160, u'A', u'3', u'2']
[162, u'G', u'3', u'2']
[164, u'D', u'4', u'2']
[170, u'D', u'3', u'2']
[174, u'F', u'3', u'2']
[176, u'E', u'3', u'2']
[178, u'G', u'3', u'2']
[180, u'F', u'3', u'2']
[182, u'G', u'3', u'2']
[184, u'B', u'2', u'2']
[186, u'D', u'3', u'2']
[188, u'G', u'3', u'2']
[190, u'D', u'3', u'2']
[192, u'G', u'2', u'2']
